Patient,Position,Method,Decoding TW,Accuracy
S22,p2,MFA,0.6S,0.3092105263157895
S22,p2,MFA,0.6S,0.3355263157894737
S22,p2,MFA,0.6S,0.29605263157894735
S22,p2,MFA,0.4S,0.26973684210526316
S22,p2,MFA,0.4S,0.27631578947368424
S22,p2,MFA,0.4S,0.25
S22,p2,MFA,0.4S,0.23026315789473684
S22,p2,MFA,0.4S,0.2894736842105263
S22,p2,MFA,0.4S,0.2631578947368421
S22,p2,MFA,0.4S,0.24342105263157895
S22,p2,MFA,0.4S,0.27631578947368424
S22,p2,MFA,0.4S,0.26973684210526316
S22,p2,MFA,0.4S,0.29605263157894735
S22,p2,MFA,0.2S,0.3223684210526316
S22,p2,MFA,0.2S,0.2894736842105263
S22,p2,MFA,0.2S,0.2631578947368421
S22,p2,MFA,0.2S,0.3223684210526316
S22,p2,MFA,0.2S,0.26973684210526316
S22,p2,MFA,0.2S,0.3092105263157895
S22,p2,MFA,0.2S,0.3026315789473684
S22,p2,MFA,0.2S,0.2894736842105263
S22,p2,MFA,0.2S,0.28289473684210525
S22,p2,MFA,0.2S,0.3026315789473684
S22,p3,Kumar,1S,0.1390728476821192
S22,p3,Kumar,1S,0.12582781456953643
S22,p3,Kumar,1S,0.16556291390728478
S22,p3,Kumar,1S,0.17218543046357615
S22,p3,Kumar,1S,0.16556291390728478
S22,p3,Kumar,1S,0.1456953642384106
S22,p3,Kumar,1S,0.1456953642384106
S22,p3,Kumar,1S,0.1456953642384106
S22,p3,Kumar,1S,0.152317880794702
S22,p3,Kumar,1S,0.15894039735099338
S22,p3,Kumar,0.8S,0.15894039735099338
S22,p3,Kumar,0.8S,0.12582781456953643
S22,p3,Kumar,0.8S,0.1390728476821192
S22,p3,Kumar,0.8S,0.13245033112582782
S22,p3,Kumar,0.8S,0.13245033112582782
S22,p3,Kumar,0.8S,0.1390728476821192
S22,p3,Kumar,0.8S,0.1456953642384106
S22,p3,Kumar,0.8S,0.11920529801324503
S22,p3,Kumar,0.8S,0.13245033112582782
S22,p3,Kumar,0.8S,0.1456953642384106
S22,p3,Kumar,0.6S,0.11258278145695365
S22,p3,Kumar,0.6S,0.11920529801324503
S22,p3,Kumar,0.6S,0.09933774834437085
S22,p3,Kumar,0.6S,0.11258278145695365
S22,p3,Kumar,0.6S,0.15894039735099338
S22,p3,Kumar,0.6S,0.11920529801324503
S22,p3,Kumar,0.6S,0.12582781456953643
S22,p3,Kumar,0.6S,0.11920529801324503
S22,p3,Kumar,0.6S,0.1456953642384106
S22,p3,Kumar,0.6S,0.11920529801324503
S22,p3,Kumar,0.4S,0.13245033112582782
S22,p3,Kumar,0.4S,0.10596026490066225
S22,p3,Kumar,0.4S,0.152317880794702
S22,p3,Kumar,0.4S,0.12582781456953643
S22,p3,Kumar,0.4S,0.11920529801324503
S22,p3,Kumar,0.4S,0.11920529801324503
S22,p3,Kumar,0.4S,0.12582781456953643
S22,p3,Kumar,0.4S,0.10596026490066225
S22,p3,Kumar,0.4S,0.11920529801324503
S22,p3,Kumar,0.4S,0.13245033112582782
S22,p3,Kumar,0.2S,0.1390728476821192
S22,p3,Kumar,0.2S,0.08609271523178808
S22,p3,Kumar,0.2S,0.11258278145695365
S22,p3,Kumar,0.2S,0.1390728476821192
S22,p3,Kumar,0.2S,0.11920529801324503
S22,p3,Kumar,0.2S,0.16556291390728478
S22,p3,Kumar,0.2S,0.11258278145695365
S22,p3,Kumar,0.2S,0.152317880794702
S22,p3,Kumar,0.2S,0.11920529801324503
S22,p3,Kumar,0.2S,0.13245033112582782
S22,p3,MFA,1S,0.2631578947368421
S22,p3,MFA,1S,0.23026315789473684
S22,p3,MFA,1S,0.2631578947368421
S22,p3,MFA,1S,0.26973684210526316
S22,p3,MFA,1S,0.24342105263157895
S22,p3,MFA,1S,0.2236842105263158
S22,p3,MFA,1S,0.24342105263157895
S22,p3,MFA,1S,0.2631578947368421
S22,p3,MFA,1S,0.25
S22,p3,MFA,1S,0.26973684210526316
S22,p3,MFA,0.8S,0.19736842105263158
S22,p3,MFA,0.8S,0.2565789473684211
S22,p3,MFA,0.8S,0.23026315789473684
S22,p3,MFA,0.8S,0.24342105263157895
S22,p3,MFA,0.8S,0.2236842105263158
S22,p3,MFA,0.8S,0.2236842105263158
S22,p3,MFA,0.8S,0.20394736842105263
S22,p3,MFA,0.8S,0.20394736842105263
S22,p3,MFA,0.8S,0.2236842105263158
S22,p3,MFA,0.8S,0.21710526315789475
S22,p3,MFA,0.6S,0.19078947368421054
S22,p3,MFA,0.6S,0.17105263157894737
S22,p3,MFA,0.6S,0.14473684210526316
S22,p3,MFA,0.6S,0.18421052631578946
S22,p3,MFA,0.6S,0.17763157894736842
S22,p3,MFA,0.6S,0.17105263157894737
S22,p3,MFA,0.6S,0.15789473684210525
S22,p3,MFA,0.6S,0.16447368421052633
